Go
Old Kent Road
Community Chest
Whitechapel Road
Income Tax
Kings Cross Station
The Angel Islington
Chance
Euston Road
Pentonville Road
Jail
Pall Mall
Electric Company
Whitehall
Northumberl'd Avenue
Marylebone Station
Bow Street
Community Chest
Marlborough Street
Vine Street
Free Parking
The Strand
Chance
Fleet Street
Trafalgar Square
Fenchurch Street Station
Leicester Square
Coventry Street
Water Works
Piccadilly
Go to Jail
Regent Street
Oxford Street
Community Chest
Bond Street
Liverpool Street Station
Chance
Park Lane
Super Tax
Mayfair
