Go
Mediterranean Avenue
Community Chest
Baltic Avenue
Income Tax
Reading Railroad
Oriental Avenue
Chance
Vermont Avenue
Connecticut Avenue
Jail
St. Charles Place
Electric Company
States Avenue
Virginia Avenue
Pennsylyania Railroad
St. James Place
Community Chest
Tennessee Avenue
New York Avenue
Free Parking
Kentucky Avenue
Chance
Indiana Avenue
Illinois Avenue
B & O Railroad
Atlantic Avenue
Ventnor Avenue
Water Works
Marvin Gardens
Go to Jail
Pacific Avenue
North Carolina Avenue
Community Chest
Pennsylyania Avenue
Short Line
Chance
Park Place
Luxury Tax
Boardwalk
